dataportal_name,dataportal_id,wikidata_qid,wikidata_label
QGIS-server Örebro kommun - Projket,www.qgisserverorebrokommunprojket.se,,
Umeå kommun,7a00bd3796ed09a600646432cb321722,Q507709,Umeå kommun
Upplands Väsby kommun,upplandsvasby.se,Q499425,Upplands Väsby kommun
Örebro kommun,www.orebro.se,Q297718,Örebro kommun
Ale kommun,SE2120001439,Q498470,Ale kommun
Alingsås kommun,SE2120001553,Q503162,Alingsås kommun
Botkyrka kommun,SE2120002882,Q113718,Botkyrka kommun
Burlövs kommun,1,Q186662,Burlövs kommun
Eskilstuna kommun,SE2120000357,Q503144,Eskilstuna kommun
Eslövs kommun,SE2120001173,Q1130264,Eslövs kommun
Essunga kommun,SE2120002916,Q503127,Essunga kommun
Falköpings kommun,SE2120001744,Q503214,Falköpings kommun
Falu kommun,SE2120002221,Q501545,Falu kommun
Gislaveds kommun,SE2120000514,Q505259,Gislaveds kommun
Grästorps kommun,SE2120001595,Q503148,Grästorps kommun
Gullspångs kommun,SE2120001637,Q503193,Gullspångs kommun
Gävle kommun,SE2120002338,Q510010,Gävle kommun
Götene kommun,SE2120001652,Q511281,Götene kommun
Haninge kommun,SE2120000084,Q113692,Haninge kommun
Heby kommun,SE2120002049,Q516308,Heby kommun
Hjo kommun,SE2120001728,Q428749,Hjo kommun
Huddinge kommun,SE2120000068,Q492575,Huddinge kommun
Härryda kommun,SE2120001264,Q500125,Härryda kommun
Håbo kommun,SE2120000241,Q511253,Håbo kommun
Karlsborgs kommun,SE2120001629,Q499435,Karlsborgs kommun
Karlshamns kommun,SE2120000845,Q510223,Karlshamns kommun
Karlskrona kommun,SE2120000829,Q1128384,Karlskrona kommun
Karlstads Kommun,SE2120001850,Q498453,Karlstads kommun
Kungsbacka kommun,SE2120001256,Q499380,Kungsbacka kommun
Kungälvs kommun,SE2120001371,Q511394,Kungälvs kommun
Lerums kommun,1,Q503188,Lerums kommun
Lidköpings kommun,SE2120001694,Q515358,Lidköpings kommun
Lilla Edets kommun,SE2120001496,Q511241,Lilla Edets kommun
Linköpings kommun,SE2120000449,Q499410,Linköpings kommun
Lomma kommun,SE2120001066,Q427991,Lomma kommun
Lunds kommun,SE2120001132,Q505018,Lunds kommun
Mariestads kommun,SE2120001686,Q427422,Mariestads kommun
Olofströms kommun,SE2120000811,Q504257,Olofströms kommun
Oxelösunds kommun,SE2120000324,Q505246,Oxelösunds kommun
Rådet för främjande av kommunala analyser - Kolada,SE2220000315,,
Sandvikens kommun,SE2120002346,Q149539,Sandvikens kommun
Simrishamns kommun,SE2120000969,Q504626,Simrishamns kommun
Skara kommun,SE2120001702,Q499421,Skara kommun
Skövde kommun,SE2120001710,Q501452,Skövde kommun
Stenungsunds kommun,SE2120001298,Q511438,Stenungsunds kommun
Sundsvalls kommun,SE2120002411,Q504994,Sundsvalls kommun
Svedala kommun,SE2120001074,Q515706,Svedala kommun
Sveriges Kommuner och Regioner,179,,
Sveriges Kommuner och Regioner (SKR),2220000315,,
Sävsjö kommun,SE2120000563,Q505239,Sävsjö kommun
Södertälje kommun,SE2120000159,Q516336,Södertälje kommun
Sölvesborgs kommun,SE2120000852,Q515409,Sölvesborgs kommun
Tibro kommun,SE2120001660,Q501432,Tibro kommun
Tidaholms kommun,SE2120001736,Q501459,Tidaholms kommun
Tierps kommun,SE2120000266,Q510198,Tierps kommun
Tjörns kommun,SE2120001306,Q501448,Tjörns kommun
Tomelilla kommun,SE2120000886,Q515519,Tomelilla kommun
Trelleborgs Kommun,1,Q504219,Trelleborgs kommun
Töreboda kommun,SE2120001678,Q501470,Töreboda kommun
Ulricehamns kommun,SE2120001579,Q382808,Ulricehamns kommun
Umeå  Kommun,87e6a04fcd85530446a1b820300c95dd,Q507709,Umeå kommun
Umeå Kommun,2fa2b5d12b5b59f3f8a157937bfb5beb,Q507709,Umeå kommun
Vara kommun,SE2120002924,Q501428,Vara kommun
Varbergs kommun,SE2120001249,Q179180,Varbergs kommun
Vingåkers kommun,SE2120000308,Q249378,Vingåkers kommun
Värmdö kommun,SE2120000035,Q493841,Värmdö kommun
Ystads kommun,SE2120001181,Q505102,Ystads kommun
Älvkarleby kommun,SE2120000258,Q59858,Älvkarleby kommun
Ånge kommun,SE2120002387,Q271107,Ånge kommun
